backend,latency_p50_ms,latency_p95_ms,latency_p99_ms,precision@1,recall@1,f1@1,ndcg@1,precision@3,recall@3,f1@3,ndcg@3,precision@5,recall@5,f1@5,ndcg@5,precision@8,recall@8,f1@8,ndcg@8,mrr,cost_driver,complexity_score_1_to_5,scalability_score_1_to_5
ChromaDB,5973.135145497508,6672.913734344183,6773.325430142868,0.2,0.18333333333333332,0.1888888888888889,0.2,0.07777777777777778,0.2,0.11,0.1973240263049396,0.05333333333333333,0.23333333333333334,0.08571428571428573,0.2102191198794243,0.041666666666666664,0.3,0.07259259259259258,0.23244134210164652,0.21619047619047618,"queries=30, vectors=5098",2,3
Pinecone,9657.659210992279,11888.915450531931,14086.928736700795,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.08888888888888889,0.25,0.13,0.17103099178571526,0.08,0.36666666666666664,0.13015873015873017,0.2164533715582319,0.07083333333333333,0.5166666666666667,0.1237037037037037,0.2721757736880236,0.1878968253968254,"queries=30, upserts=5098, vectors=5098",3,5
